name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
insert volkswagen model 111,27,4,97,60,1834,19,71,europe
insert plymouth cricket,26,4,91,70,1955,20.5,71,usa
insert toyota corona hardtop,24,4,113,95,2278,15.5,72,japan
insert dodge colt hardtop,25,4,97.5,80,2126,17,72,usa
insert volkswagen type 3,23,4,97,54,2254,23.5,72,europe
insert chevrolet vega,20,4,140,90,2408,19.5,72,usa
insert ford pinto runabout,21,4,122,86,2226,16.5,72,usa
insert chevrolet impala,13,8,350,165,4274,12,72,usa
insert pontiac catalina,14,8,400,175,4385,12,72,usa
insert plymouth fury iii,15,8,318,150,4135,13.5,72,usa
insert ford galaxie 500,14,8,351,153,4129,13,72,usa
insert amc ambassador sst,17,8,304,150,3672,11.5,72,usa
insert mercury marquis,11,8,429,208,4633,11,72,usa
insert buick lesabre custom,13,8,350,155,4502,13.5,72,usa
insert oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,usa
insert chrysler newport royal,13,8,400,190,4422,12.5,72,usa
insert mazda rx2 coupe,19,3,70,97,2330,13.5,72,japan
insert amc matador (sw),15,8,304,150,3892,12.5,72,usa
insert chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,usa
insert ford gran torino (sw),13,8,302,140,4294,16,72,usa
insert plymouth satellite custom (sw),14,8,318,150,4077,14,72,usa
insert volvo 145e (sw),18,4,121,112,2933,14.5,72,europe
insert volkswagen 411 (sw),22,4,121,76,2511,18,72,europe
insert peugeot 504 (sw),21,4,120,87,2979,19.5,72,europe
insert renault 12 (sw),26,4,96,69,2189,18,72,europe
insert ford pinto (sw),22,4,122,86,2395,16,72,usa
insert datsun 510 (sw),28,4,97,92,2288,17,72,japan
insert toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,japan
insert dodge colt (sw),28,4,98,80,2164,15,72,usa
insert toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,japan
insert buick century 350,13,8,350,175,4100,13,73,usa
insert amc matador,14,8,304,150,3672,11.5,73,usa
insert chevrolet malibu,13,8,350,145,3988,13,73,usa
insert ford gran torino,14,8,302,137,4042,14.5,73,usa
insert dodge coronet custom,15,8,318,150,3777,12.5,73,usa
insert mercury marquis brougham,12,8,429,198,4952,11.5,73,usa
insert chevrolet caprice classic,13,8,400,150,4464,12,73,usa
insert ford ltd,13,8,351,158,4363,13,73,usa
insert plymouth fury gran sedan,14,8,318,150,4237,14.5,73,usa
insert chrysler new yorker brougham,13,8,440,215,4735,11,73,usa
insert buick electra 225 custom,12,8,455,225,4951,11,73,usa
insert amc ambassador brougham,13,8,360,175,3821,11,73,usa
insert plymouth valiant,18,6,225,105,3121,16.5,73,usa
insert chevrolet nova custom,16,6,250,100,3278,18,73,usa
insert amc hornet,18,6,232,100,2945,16,73,usa
insert ford maverick,18,6,250,88,3021,16.5,73,usa
insert plymouth duster,23,6,198,95,2904,16,73,usa
insert volkswagen super beetle,26,4,97,46,1950,21,73,europe
insert chevrolet impala,11,8,400,150,4997,14,73,usa
insert ford country,12,8,400,167,4906,12.5,73,usa
insert plymouth custom suburb,13,8,360,170,4654,13,73,usa
insert oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,usa
insert amc gremlin,18,6,232,100,2789,15,73,usa
insert toyota carina,20,4,97,88,2279,19,73,japan
insert chevrolet vega,21,4,140,72,2401,19.5,73,usa
insert datsun 610,22,4,108,94,2379,16.5,73,japan
insert maxda rx3,18,3,70,90,2124,13.5,73,japan
insert ford pinto,19,4,122,85,2310,18.5,73,usa
insert mercury capri v6,21,6,155,107,2472,14,73,usa
insert fiat 124 sport coupe,26,4,98,90,2265,15.5,73,europe
insert chevrolet monte carlo s,15,8,350,145,4082,13,73,usa
insert pontiac grand prix,16,8,400,230,4278,9.5,73,usa
insert fiat 128,29,4,68,49,1867,19.5,73,europe
insert opel manta,24,4,116,75,2158,15.5,73,europe
insert audi 100ls,20,4,114,91,2582,14,73,europe
insert volvo 144ea,19,4,121,112,2868,15.5,73,europe
insert dodge dart custom,15,8,318,150,3399,11,73,usa
insert saab 99le,24,4,121,110,2660,14,73,europe
insert toyota mark ii,20,6,156,122,2807,13.5,73,japan
insert oldsmobile omega,11,8,350,180,3664,11,73,usa
insert plymouth duster,20,6,198,95,3102,16.5,74,usa
insert ford maverick,21,6,200,,2875,17,74,usa
insert amc hornet,19,6,232,100,2901,16,74,usa
insert chevrolet nova,15,6,250,100,3336,17,74,usa
insert datsun b210,31,4,79,67,1950,19,74,japan
insert ford pinto,26,4,122,80,2451,16.5,74,usa
insert toyota corolla 1200,32,4,71,65,1836,21,74,japan
insert chevrolet vega,25,4,140,75,2542,17,74,usa
insert chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,usa
insert amc matador,16,6,258,110,3632,18,74,usa
insert plymouth satellite sebring,18,6,225,105,3613,16.5,74,usa
insert ford gran torino,16,8,302,140,4141,14,74,usa
insert buick century luxus (sw),13,8,350,150,4699,14.5,74,usa
insert dodge coronet custom (sw),14,8,318,150,4457,13.5,74,usa
insert ford gran torino (sw),14,8,302,140,4638,16,74,usa
insert amc matador (sw),14,8,304,150,4257,15.5,74,usa
insert audi fox,29,4,98,83,2219,16.5,74,europe
insert volkswagen dasher,26,4,79,67,1963,15.5,74,europe
insert opel manta,26,4,97,78,2300,14.5,74,europe
insert toyota corona,31,4,76,52,1649,16.5,74,japan
insert datsun 710,32,4,83,61,2003,19,74,japan
insert dodge colt,28,4,90,75,2125,14.5,74,usa
insert fiat 128,24,4,90,75,2108,15.5,74,europe
insert fiat 124 tc,26,4,116,75,2246,14,74,europe
insert honda civic,24,4,120,97,2489,15,74,japan
insert subaru,26,4,108,93,2391,15.5,74,japan
insert fiat x1.9,31,4,79,67,2000,16,74,europe
insert plymouth valiant custom,19,6,225,95,3264,16,75,usa
insert chevrolet nova,18,6,250,105,3459,16,75,usa
insert mercury monarch,15,6,250,72,3432,21,75,usa
insert ford maverick,15,6,250,72,3158,19.5,75,usa
insert pontiac catalina,16,8,400,170,4668,11.5,75,usa
insert chevrolet bel air,15,8,350,145,4440,14,75,usa
insert plymouth grand fury,16,8,318,150,4498,14.5,75,usa
insert ford ltd,14,8,351,148,4657,13.5,75,usa
insert buick century,17,6,231,110,3907,21,75,usa
insert chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,usa
insert amc matador,15,6,258,110,3730,19,75,usa
insert plymouth fury,18,6,225,95,3785,19,75,usa
insert buick skyhawk,21,6,231,110,3039,15,75,usa
insert chevrolet monza 2+2,20,8,262,110,3221,13.5,75,usa
insert ford mustang ii,13,8,302,129,3169,12,75,usa
insert toyota corolla,29,4,97,75,2171,16,75,japan
insert ford pinto,23,4,140,83,2639,17,75,usa
insert amc gremlin,20,6,232,100,2914,16,75,usa
insert pontiac astro,23,4,140,78,2592,18.5,75,usa
insert toyota corona,24,4,134,96,2702,13.5,75,japan
insert volkswagen dasher,25,4,90,71,2223,16.5,75,europe
insert datsun 710,24,4,119,97,2545,17,75,japan
insert ford pinto,18,6,171,97,2984,14.5,75,usa
insert volkswagen rabbit,29,4,90,70,1937,14,75,europe
insert amc pacer,19,6,232,90,3211,17,75,usa
insert audi 100ls,23,4,115,95,2694,15,75,europe
insert peugeot 504,23,4,120,88,2957,17,75,europe
insert volvo 244dl,22,4,121,98,2945,14.5,75,europe
insert saab 99le,25,4,121,115,2671,13.5,75,europe
insert honda civic cvcc,33,4,91,53,1795,17.5,75,japan
insert fiat 131,28,4,107,86,2464,15.5,76,europe
insert opel 1900,25,4,116,81,2220,16.9,76,europe
insert capri ii,25,4,140,92,2572,14.9,76,usa
insert dodge colt,26,4,98,79,2255,17.7,76,usa
insert renault 12tl,27,4,101,83,2202,15.3,76,europe
insert chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,usa
insert dodge coronet brougham,16,8,318,150,4190,13,76,usa
insert amc matador,15.5,8,304,120,3962,13.9,76,usa
insert ford gran torino,14.5,8,351,152,4215,12.8,76,usa
insert plymouth valiant,22,6,225,100,3233,15.4,76,usa
insert chevrolet nova,22,6,250,105,3353,14.5,76,usa
insert ford maverick,24,6,200,81,3012,17.6,76,usa
insert amc hornet,22.5,6,232,90,3085,17.6,76,usa
insert chevrolet chevette,29,4,85,52,2035,22.2,76,usa
insert chevrolet woody,24.5,4,98,60,2164,22.1,76,usa
insert vw rabbit,29,4,90,70,1937,14.2,76,europe
insert honda civic,33,4,91,53,1795,17.4,76,japan
insert dodge aspen se,20,6,225,100,3651,17.7,76,usa
insert ford granada ghia,18,6,250,78,3574,21,76,usa
insert pontiac ventura sj,18.5,6,250,110,3645,16.2,76,usa
insert amc pacer d/l,17.5,6,258,95,3193,17.8,76,usa
insert volkswagen rabbit,29.5,4,97,71,1825,12.2,76,europe
insert datsun b-210,32,4,85,70,1990,17,76,japan
insert toyota corolla,28,4,97,75,2155,16.4,76,japan
insert ford pinto,26.5,4,140,72,2565,13.6,76,usa
insert volvo 245,20,4,130,102,3150,15.7,76,europe
insert plymouth volare premier v8,13,8,318,150,3940,13.2,76,usa
insert peugeot 504,19,4,120,88,3270,21.9,76,europe
insert toyota mark ii,19,6,156,108,2930,15.5,76,japan
insert mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,europe
insert cadillac seville,16.5,8,350,180,4380,12.1,76,usa
insert chevy c10,13,8,350,145,4055,12,76,usa
insert ford f108,13,8,302,130,3870,15,76,usa
insert dodge d100,13,8,318,150,3755,14,76,usa
insert honda accord cvcc,31.5,4,98,68,2045,18.5,77,japan
insert buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,usa
insert renault 5 gtl,36,4,79,58,1825,18.6,77,europe
insert plymouth arrow gs,25.5,4,122,96,2300,15.5,77,usa
insert datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,japan
insert chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,usa
insert oldsmobile cutlass supreme,17,8,260,110,4060,19,77,usa
insert dodge monaco brougham,15.5,8,318,145,4140,13.7,77,usa
insert mercury cougar brougham,15,8,302,130,4295,14.9,77,usa
insert chevrolet concours,17.5,6,250,110,3520,16.4,77,usa
insert buick skylark,20.5,6,231,105,3425,16.9,77,usa
insert plymouth volare custom,19,6,225,100,3630,17.7,77,usa
insert ford granada,18.5,6,250,98,3525,19,77,usa
insert pontiac grand prix lj,16,8,400,180,4220,11.1,77,usa
insert chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,usa
insert chrysler cordoba,15.5,8,400,190,4325,12.2,77,usa
insert ford thunderbird,16,8,351,149,4335,14.5,77,usa
insert volkswagen rabbit custom,29,4,97,78,1940,14.5,77,europe
insert pontiac sunbird coupe,24.5,4,151,88,2740,16,77,usa
insert toyota corolla liftback,26,4,97,75,2265,18.2,77,japan
insert ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,usa
insert chevrolet chevette,30.5,4,98,63,2051,17,77,usa
insert dodge colt m/m,33.5,4,98,83,2075,15.9,77,usa
insert subaru dl,30,4,97,67,1985,16.4,77,japan
insert volkswagen dasher,30.5,4,97,78,2190,14.1,77,europe
insert datsun 810,22,6,146,97,2815,14.5,77,japan
insert bmw 320i,21.5,4,121,110,2600,12.8,77,europe
insert mazda rx-4,21.5,3,80,110,2720,13.5,77,japan
insert volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,europe
insert ford fiesta,36.1,4,98,66,1800,14.4,78,usa
insert mazda glc deluxe,32.8,4,78,52,1985,19.4,78,japan
insert datsun b210 gx,39.4,4,85,70,2070,18.6,78,japan
insert honda civic cvcc,36.1,4,91,60,1800,16.4,78,japan
insert oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,usa
insert dodge diplomat,19.4,8,318,140,3735,13.2,78,usa
insert mercury monarch ghia,20.2,8,302,139,3570,12.8,78,usa
insert pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,usa
insert chevrolet malibu,20.5,6,200,95,3155,18.2,78,usa
insert ford fairmont (auto),20.2,6,200,85,2965,15.8,78,usa
insert ford fairmont (man),25.1,4,140,88,2720,15.4,78,usa
insert plymouth volare,20.5,6,225,100,3430,17.2,78,usa
insert amc concord,19.4,6,232,90,3210,17.2,78,usa
insert buick century special,20.6,6,231,105,3380,15.8,78,usa
insert mercury zephyr,20.8,6,200,85,3070,16.7,78,usa
insert dodge aspen,18.6,6,225,110,3620,18.7,78,usa
insert amc concord d/l,18.1,6,258,120,3410,15.1,78,usa
insert chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,usa
insert buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,usa
insert ford futura,18.1,8,302,139,3205,11.2,78,usa
insert dodge magnum xe,17.5,8,318,140,4080,13.7,78,usa
insert chevrolet chevette,30,4,98,68,2155,16.5,78,usa
insert toyota corona,27.5,4,134,95,2560,14.2,78,japan
insert datsun 510,27.2,4,119,97,2300,14.7,78,japan
insert dodge omni,30.9,4,105,75,2230,14.5,78,usa
insert toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,japan
insert plymouth sapporo,23.2,4,156,105,2745,16.7,78,usa
insert oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,usa
insert datsun 200-sx,23.9,4,119,97,2405,14.9,78,japan
insert audi 5000,20.3,5,131,103,2830,15.9,78,europe
insert volvo 264gl,17,6,163,125,3140,13.6,78,europe
insert saab 99gle,21.6,4,121,115,2795,15.7,78,europe
insert peugeot 604sl,16.2,6,163,133,3410,15.8,78,europe
insert volkswagen scirocco,31.5,4,89,71,1990,14.9,78,europe
insert honda accord lx,29.5,4,98,68,2135,16.6,78,japan
insert pontiac lemans v6,21.5,6,231,115,3245,15.4,79,usa
insert mercury zephyr 6,19.8,6,200,85,2990,18.2,79,usa
insert ford fairmont 4,22.3,4,140,88,2890,17.3,79,usa
insert amc concord dl 6,20.2,6,232,90,3265,18.2,79,usa
insert dodge aspen 6,20.6,6,225,110,3360,16.6,79,usa
insert chevrolet caprice classic,17,8,305,130,3840,15.4,79,usa
insert ford ltd landau,17.6,8,302,129,3725,13.4,79,usa
insert mercury grand marquis,16.5,8,351,138,3955,13.2,79,usa
insert dodge st. regis,18.2,8,318,135,3830,15.2,79,usa
insert buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,usa
insert ford country squire (sw),15.5,8,351,142,4054,14.3,79,usa
insert chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,usa
insert chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,usa
insert vw rabbit custom,31.9,4,89,71,1925,14,79,europe
insert maxda glc deluxe,34.1,4,86,65,1975,15.2,79,japan
insert dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,usa
insert amc spirit dl,27.4,4,121,80,2670,15,79,usa
insert mercedes benz 300d,25.4,5,183,77,3530,20.1,79,europe
insert cadillac eldorado,23,8,350,125,3900,17.4,79,usa
insert peugeot 504,27.2,4,141,71,3190,24.8,79,europe
insert oldsmobile cutlass salon brougham,23.9,8,260,90,3420,22.2,79,usa
insert plymouth horizon,34.2,4,105,70,2200,13.2,79,usa
insert plymouth horizon tc3,34.5,4,105,70,2150,14.9,79,usa
insert datsun 210,31.8,4,85,65,2020,19.2,79,japan
insert fiat strada custom,37.3,4,91,69,2130,14.7,79,europe
insert buick skylark limited,28.4,4,151,90,2670,16,79,usa
insert chevrolet citation,28.8,6,173,115,2595,11.3,79,usa
insert oldsmobile omega brougham,26.8,6,173,115,2700,12.9,79,usa
insert pontiac phoenix,33.5,4,151,90,2556,13.2,79,usa
insert vw rabbit,41.5,4,98,76,2144,14.7,80,europe
insert toyota corolla tercel,38.1,4,89,60,1968,18.8,80,japan
insert chevrolet chevette,32.1,4,98,70,2120,15.5,80,usa
insert datsun 310,37.2,4,86,65,2019,16.4,80,japan
insert chevrolet citation,28,4,151,90,2678,16.5,80,usa
insert ford fairmont,26.4,4,140,88,2870,18.1,80,usa
insert amc concord,24.3,4,151,90,3003,20.1,80,usa
insert dodge aspen,19.1,6,225,90,3381,18.7,80,usa
insert audi 4000,34.3,4,97,78,2188,15.8,80,europe
insert toyota corona liftback,29.8,4,134,90,2711,15.5,80,japan
insert mazda 626,31.3,4,120,75,2542,17.5,80,japan
insert datsun 510 hatchback,37,4,119,92,2434,15,80,japan
insert toyota corolla,32.2,4,108,75,2265,15.2,80,japan
insert mazda glc,46.6,4,86,65,2110,17.9,80,japan
insert dodge colt,27.9,4,156,105,2800,14.4,80,usa
insert datsun 210,40.8,4,85,65,2110,19.2,80,japan
insert vw rabbit c (diesel),44.3,4,90,48,2085,21.7,80,europe
insert vw dasher (diesel),43.4,4,90,48,2335,23.7,80,europe
insert audi 5000s (diesel),36.4,5,121,67,2950,19.9,80,europe
insert mercedes-benz 240d,30,4,146,67,3250,21.8,80,europe
insert honda civic 1500 gl,44.6,4,91,67,1850,13.8,80,japan
insert renault lecar deluxe,40.9,4,85,,1835,17.3,80,europe
insert subaru dl,33.8,4,97,67,2145,18,80,japan
insert vokswagen rabbit,29.8,4,89,62,1845,15.3,80,europe
insert datsun 280-zx,32.7,6,168,132,2910,11.4,80,japan
insert mazda rx-7 gs,23.7,3,70,100,2420,12.5,80,japan
insert triumph tr7 coupe,35,4,122,88,2500,15.1,80,europe
insert ford mustang cobra,23.6,4,140,,2905,14.3,80,usa
insert honda accord,32.4,4,107,72,2290,17,80,japan
insert plymouth reliant,27.2,4,135,84,2490,15.7,81,usa
insert buick skylark,26.6,4,151,84,2635,16.4,81,usa
insert dodge aries wagon (sw),25.8,4,156,92,2620,14.4,81,usa
insert chevrolet citation,23.5,6,173,110,2725,12.6,81,usa
insert plymouth reliant,30,4,135,84,2385,12.9,81,usa
insert toyota starlet,39.1,4,79,58,1755,16.9,81,japan
insert plymouth champ,39,4,86,64,1875,16.4,81,usa
insert honda civic 1300,35.1,4,81,60,1760,16.1,81,japan
insert subaru,32.3,4,97,67,2065,17.8,81,japan
insert datsun 210 mpg,37,4,85,65,1975,19.4,81,japan
insert toyota tercel,37.7,4,89,62,2050,17.3,81,japan
insert mazda glc 4,34.1,4,91,68,1985,16,81,japan
insert plymouth horizon 4,34.7,4,105,63,2215,14.9,81,usa
insert ford escort 4w,34.4,4,98,65,2045,16.2,81,usa
insert ford escort 2h,29.9,4,98,65,2380,20.7,81,usa
insert volkswagen jetta,33,4,105,74,2190,14.2,81,europe
insert renault 18i,34.5,4,100,,2320,15.8,81,europe
insert honda prelude,33.7,4,107,75,2210,14.4,81,japan
insert toyota corolla,32.4,4,108,75,2350,16.8,81,japan
insert datsun 200sx,32.9,4,119,100,2615,14.8,81,japan
insert mazda 626,31.6,4,120,74,2635,18.3,81,japan
insert peugeot 505s turbo diesel,28.1,4,141,80,3230,20.4,81,europe
insert volvo diesel,30.7,6,145,76,3160,19.6,81,europe
insert toyota cressida,25.4,6,168,116,2900,12.6,81,japan
insert datsun 810 maxima,24.2,6,146,120,2930,13.8,81,japan
insert buick century,22.4,6,231,110,3415,15.8,81,usa
insert oldsmobile cutlass ls,26.6,8,350,105,3725,19,81,usa
insert ford granada gl,20.2,6,200,88,3060,17.1,81,usa
insert chrysler lebaron salon,17.6,6,225,85,3465,16.6,81,usa
insert chevrolet cavalier,28,4,112,88,2605,19.6,82,usa
insert chevrolet cavalier wagon,27,4,112,88,2640,18.6,82,usa
insert chevrolet cavalier 2-door,34,4,112,88,2395,18,82,usa
insert pontiac j2000 se hatchback,31,4,112,85,2575,16.2,82,usa
insert dodge aries se,29,4,135,84,2525,16,82,usa
insert pontiac phoenix,27,4,151,90,2735,18,82,usa
insert ford fairmont futura,24,4,140,92,2865,16.4,82,usa
insert amc concord dl,23,4,151,,3035,20.5,82,usa
insert volkswagen rabbit l,36,4,105,74,1980,15.3,82,europe
insert mazda glc custom l,37,4,91,68,2025,18.2,82,japan
insert mazda glc custom,31,4,91,68,1970,17.6,82,japan
insert plymouth horizon miser,38,4,105,63,2125,14.7,82,usa
insert mercury lynx l,36,4,98,70,2125,17.3,82,usa
insert nissan stanza xe,36,4,120,88,2160,14.5,82,japan
insert honda accord,36,4,107,75,2205,14.5,82,japan
insert toyota corolla,34,4,108,70,2245,16.9,82,japan
insert honda civic,38,4,91,67,1965,15,82,japan
insert honda civic (auto),32,4,91,67,1965,15.7,82,japan
insert datsun 310 gx,38,4,91,67,1995,16.2,82,japan
insert buick century limited,25,6,181,110,2945,16.4,82,usa
insert oldsmobile cutlass ciera (diesel),38,6,262,85,3015,17,82,usa
insert chrysler lebaron medallion,26,4,156,92,2585,14.5,82,usa
insert ford granada l,22,6,232,112,2835,14.7,82,usa
insert toyota celica gt,32,4,144,96,2665,13.9,82,japan
insert dodge charger 2.2,36,4,135,84,2370,13,82,usa
insert chevrolet camaro,27,4,151,90,2950,17.3,82,usa
insert ford mustang gl,27,4,140,86,2790,15.6,82,usa
insert vw pickup,44,4,97,52,2130,24.6,82,europe
insert dodge rampage,32,4,135,84,2295,11.6,82,usa
insert ford ranger,28,4,120,79,2625,18.6,82,usa
insert chevy s-10,31,4,119,82,2720,19.4,82,usa
